name,artists,year,popularity,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,explicit
"Hungarian Dance No. 5 in G Minor, WoO 1 No. 5 (Orch. Schmeling)","['Johannes Brahms', 'Wiener Philharmoniker', 'Claudio Abbado']",1984,60,138707,0.899,0.358,0.167,0.96,0.103,-16.0,0.0354,144.561,0.601,0,7,0
Decisiones,['Rubén Blades'],1984,60,303400,0.777,0.661,0.61,0.0,0.0475,-9.824,0.0707,96.402,0.452,1,8,0
Didn't We Almost Have It All,['Whitney Houston'],1987,60,305067,0.416,0.54,0.489,0.000915,0.142,-10.151,0.0269,130.984,0.336,1,10,0
La Bamba,['Los Lobos'],1987,60,174187,0.144,0.506,0.764,0.00025,0.247,-12.239,0.046,156.336,0.868,1,0,0
Boyz-N-The-Hood - Remix,"['Eazy-E', 'Ice Cube', 'DJ Yella']",1988,60,379733,0.0383,0.837,0.692,0.0,0.212,-4.251,0.337,87.775,0.805,1,7,1
La Fuerza del Destino,['Mecano'],1988,60,310347,0.353,0.735,0.497,0.058,0.0577,-10.221,0.0356,89.87,0.868,0,8,0
Girls on Film - 2010 Remaster,['Duran Duran'],1981,60,212853,0.0173,0.725,0.859,0.0137,0.048,-6.208,0.0636,131.697,0.53,1,7,0
Sign Your Name,"[""Terence Trent D'Arby""]",1987,60,276533,0.202,0.899,0.421,4.94e-06,0.0864,-11.238,0.0511,109.148,0.852,1,4,0
Major Tom - Coming Home,['Peter Schilling'],1989,60,301373,0.153,0.787,0.42,0.164,0.169,-14.32,0.0645,161.247,0.838,0,4,0
Todo Se Derrumbó Dentro de Mí,['Emmanuel'],1988,60,312560,0.539,0.487,0.304,0.0,0.152,-15.082,0.0953,177.747,0.449,0,2,0
Resistiré,['Duo Dinamico'],1988,60,241627,0.187,0.75,0.742,0.0,0.0712,-10.184,0.027,95.872,0.653,0,5,0
Careless Whisper,['George Michael'],1986,60,302600,0.232,0.583,0.545,0.0,0.133,-11.698,0.0351,153.25,0.8,0,2,0
"Vivaldi: Violin Concerto in G Minor, RV 315 ""L'estate"" (No. 2 from ""Il cimento dell'armonia e dell'inventione"", Op. 8): III. Presto","['Antonio Vivaldi', 'Nigel Kennedy', 'English Chamber Orchestra']",1989,60,173427,0.876,0.362,0.569,0.91,0.327,-15.394,0.0345,148.692,0.746,0,7,0
Can You Stand The Rain,['New Edition'],1988,60,297707,0.678,0.614,0.369,0.00235,0.143,-15.182,0.0353,143.319,0.733,1,8,0
You,['Bad Religion'],1989,60,126520,0.000653,0.319,0.995,0.0,0.274,-2.94,0.0848,155.232,0.334,1,0,1
Perhaps Love,"['John Denver', 'Plácido Domingo']",1984,60,177307,0.794,0.393,0.248,1.88e-06,0.0953,-10.942,0.0363,80.755,0.203,1,9,0
Ohne Dich (schlaf' ich heut Nacht nicht ein),['Münchener Freiheit'],1986,60,247493,0.211,0.532,0.593,0.0,0.207,-13.014,0.0329,88.83,0.364,1,3,0
