name,artists,year,popularity,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,explicit
You Keep Me Hangin On,['Kim Wilde'],1986,59,255220,0.0806,0.686,0.682,0.000155,0.14,-12.154,0.033,123.44,0.708,0,7,0
Billie Jean,['Michael Jackson'],1982,59,294227,0.0174,0.932,0.458,0.0432,0.0414,-9.62,0.054,117.004,0.885,0,11,0
You Can Leave Your Hat On,['Joe Cocker'],1986,59,255293,0.118,0.65,0.535,0.0,0.187,-13.325,0.0282,173.8,0.9,1,5,0
I Like It,['DeBarge'],1982,59,279400,0.446,0.675,0.733,1.8e-05,0.201,-4.5,0.0443,175.011,0.83,1,9,0
Back In The High Life Again,['Steve Winwood'],1986,59,335840,0.29,0.603,0.503,0.00128,0.135,-14.862,0.0379,168.512,0.647,1,2,0
Girls,['Beastie Boys'],1986,59,132707,0.777,0.873,0.808,0.0,0.357,-6.729,0.0466,139.676,0.933,0,0,0
Stand - Remastered,['R.E.M.'],1988,59,192960,0.397,0.653,0.738,0.0,0.0931,-10.057,0.0285,109.322,0.932,1,4,0
Through the Fire,['Chaka Khan'],1984,59,286693,0.166,0.569,0.589,6.91e-06,0.132,-7.395,0.0306,130.865,0.409,1,8,0
Last Christmas,['Wham!'],1984,59,262960,0.189,0.735,0.478,2.48e-06,0.355,-12.472,0.0293,107.682,0.947,1,2,0
Killed by Death,['Motörhead'],1984,59,278307,5.18e-05,0.378,0.953,0.000695,0.303,-4.969,0.0527,134.581,0.268,0,4,0
Toda Forma de Amor,['Lulu Santos'],1988,59,225760,0.113,0.674,0.833,8.82e-05,0.0957,-5.631,0.0363,137.905,0.827,1,9,0
Conga,['Miami Sound Machine'],1984,59,252933,0.141,0.782,0.874,0.0584,0.112,-7.157,0.0474,123.179,0.859,1,2,0
"Baby, Come To Me","['Patti Austin', 'James Ingram']",1981,59,215387,0.551,0.631,0.503,0.0,0.137,-12.083,0.0766,90.205,0.699,0,7,0
Keep Your Hands to Yourself,['The Georgia Satellites'],1986,59,208469,0.00259,0.57,0.882,0.000178,0.0875,-6.044,0.0524,114.88,0.844,1,2,0
On The Wings Of Love,['Jeffrey Osborne'],1982,59,241760,0.404,0.546,0.352,0.0,0.355,-12.066,0.032,69.199,0.39,1,7,0
Sledgehammer - 2012 Remaster,['Peter Gabriel'],1986,59,311986,0.044,0.641,0.682,0.0,0.0394,-7.561,0.0392,96.319,0.468,1,8,0
Old and Wise,['The Alan Parsons Project'],1982,59,295253,0.727,0.375,0.317,2.92e-05,0.123,-11.741,0.0315,112.003,0.12,0,0,0
Pride (In The Name Of Love) - Remastered 2009,['U2'],1984,59,228427,0.00135,0.458,0.843,0.000296,0.778,-7.201,0.0316,105.701,0.713,1,4,0
Ain't Even Done With The Night,['John Mellencamp'],1980,59,279067,0.201,0.791,0.7,0.000312,0.0562,-6.96,0.0297,120.741,0.8,1,11,0
Der Kommissar,['Falco'],1982,59,232588,0.0525,0.93,0.607,5.27e-06,0.039,-10.387,0.0457,118.242,0.95,1,7,0
Don't Know What To Say (Don't Know What To Do),['Ric Segreto'],1982,59,165400,0.584,0.673,0.365,0.0,0.12,-15.372,0.0451,135.447,0.297,1,2,0
The Boys Light Up - Remastered,['Australian Crawl'],1980,59,281467,0.0968,0.619,0.935,0.000172,0.307,-7.158,0.0358,97.894,0.704,1,7,0
Escuela de Calor,['Radio Futura'],1984,58,210840,0.12,0.702,0.804,0.0231,0.0294,-10.086,0.0331,121.998,0.961,1,2,0
Tükeneceğiz,['Sezen Aksu'],1984,58,259360,0.649,0.395,0.675,0.0,0.0963,-5.881,0.0472,177.053,0.496,0,1,0
Mr. Crowley,['Ozzy Osbourne'],1980,58,302640,0.204,0.286,0.758,0.000296,0.359,-6.482,0.0587,108.269,0.358,0,2,0
Let My Love Open The Door,['Pete Townshend'],1980,58,164653,0.365,0.651,0.653,0.000117,0.0742,-9.731,0.0545,164.912,0.729,1,0,0
"Cello Concerto in E Minor, Op.85 (1988 Digital Remaster): I. Adagio - Moderato","['Edward Elgar', 'Jacqueline du Pré', 'Sir John Barbirolli', 'London Symphony Orchestra']",1988,58,478573,0.944,0.148,0.0722,0.148,0.115,-25.217,0.0427,87.882,0.0467,0,4,0
Heaven - Remastered,"['The Rolling Stones', 'Bob Clearmountain']",1981,58,262400,0.222,0.617,0.459,0.0415,0.285,-9.292,0.0368,114.497,0.119,0,1,0
Under Pressure,"['Queen', 'David Bowie']",1982,58,245507,0.394,0.659,0.545,0.0,0.0859,-12.768,0.0514,113.458,0.406,1,2,0
The One That You Love,['Air Supply'],1981,58,259000,0.728,0.396,0.479,9.51e-06,0.102,-8.072,0.0268,109.973,0.184,1,5,0
A Good Heart,['Feargal Sharkey'],1985,58,281800,0.417,0.653,0.884,0.0,0.318,-10.224,0.0444,104.647,0.762,1,10,0
Cheap Wine - 2011 Remastered,['Cold Chisel'],1980,58,205132,0.164,0.681,0.889,0.0,0.207,-3.58,0.0374,123.661,0.833,1,0,0
Here I Am (Just When I Thought I Was Over You),['Air Supply'],1981,58,230400,0.534,0.344,0.466,1.61e-05,0.569,-8.453,0.0255,137.974,0.132,1,0,0
You Dropped A Bomb On Me,['The Gap Band'],1982,58,312907,0.00737,0.786,0.627,0.00186,0.181,-11.177,0.0339,126.461,0.831,1,9,0
I Don't Care Anymore - 2016 Remaster,['Phil Collins'],1982,58,305707,0.188,0.703,0.422,0.00311,0.0851,-8.297,0.0378,140.494,0.442,1,11,0
Don't Answer Me,['The Alan Parsons Project'],1984,58,251853,0.0717,0.615,0.783,0.000109,0.215,-8.716,0.0303,115.133,0.634,1,0,0
Do You Believe In Love,['Huey Lewis & The News'],1982,58,209000,0.0582,0.547,0.636,0.0,0.249,-10.948,0.0314,114.061,0.816,1,11,0
China In Your Hand - Single Version,"[""T'Pau""]",1987,58,249893,0.235,0.355,0.718,0.0,0.0694,-6.46,0.0388,139.387,0.253,1,11,0
Where Eagles Dare,"['Misfits', 'Glenn Danzig']",1986,58,128427,0.741,0.282,0.943,0.414,0.178,-7.746,0.121,182.381,0.15,1,2,0
On My Own,['Patti LaBelle'],1986,58,290840,0.337,0.62,0.402,6.13e-05,0.312,-12.964,0.0264,92.093,0.483,1,5,0
A View to a Kill,['Duran Duran'],1989,58,217693,0.0159,0.706,0.814,0.0,0.262,-5.405,0.0569,125.472,0.778,1,1,0
He Stopped Loving Her Today,['George Jones'],1987,58,195333,0.594,0.43,0.173,0.000111,0.224,-18.597,0.0321,72.103,0.365,1,8,0
I Won't Hold You Back,['TOTO'],1982,58,293307,0.404,0.539,0.306,0.0,0.0608,-15.067,0.0265,102.247,0.0637,0,0,0
Land of Confusion - 2007 Remaster,['Genesis'],1986,58,286840,0.0431,0.63,0.909,8.17e-05,0.23,-7.142,0.0388,115.189,0.811,1,1,0
Electric Blue,['ICEHOUSE'],1987,58,263680,0.0608,0.688,0.909,1.97e-06,0.1,-4.756,0.0354,109.673,0.641,1,10,0
Battery (Remastered),['Metallica'],1986,58,312360,0.000211,0.48,0.923,0.531,0.106,-8.793,0.0682,96.535,0.44,0,11,0
Dreams,['Van Halen'],1986,58,294000,0.223,0.455,0.758,2.51e-06,0.0986,-11.361,0.0454,141.304,0.54,1,0,0
"Adagio in E Major, K. 261","['Wolfgang Amadeus Mozart', 'Pinchas Zukerman', 'Saint Paul Chamber Orchestra']",1982,58,517360,0.969,0.194,0.079,0.498,0.126,-21.389,0.0425,100.309,0.082,1,4,0
No me importa nada,['Luz Casal'],1989,58,247680,0.447,0.564,0.804,0.000314,0.218,-4.848,0.0394,169.557,0.681,1,4,0
Lay It Down,['Ratt'],1985,58,205560,0.000402,0.442,0.759,0.0081,0.174,-13.475,0.0354,198.117,0.279,1,10,0
Like The Way I Do,['Melissa Etheridge'],1988,58,324333,0.0418,0.596,0.835,1.11e-05,0.059,-13.021,0.0418,101.359,0.637,0,2,0
Don't Lose My Number - 2016 Remaster,['Phil Collins'],1985,58,288547,0.168,0.585,0.832,5.09e-05,0.0634,-5.016,0.0814,80.614,0.952,0,5,0
"Training Montage - From ""Rocky IV"" Soundtrack",['Vince DiCola'],1985,58,219080,0.0145,0.578,0.748,0.723,0.11,-8.702,0.0546,81.107,0.345,1,7,0
Que Pais É Este,['Legião Urbana'],1987,58,178733,2.16e-05,0.436,0.711,0.142,0.0912,-12.769,0.0348,145.581,0.386,1,0,0
Thriller,['Michael Jackson'],1982,58,357800,0.0317,0.771,0.688,0.000222,0.89,-9.815,0.0696,118.388,0.782,1,11,0
Toy Soldiers,['Martika'],1988,58,287600,0.403,0.514,0.59,0.0,0.126,-6.405,0.0274,130.167,0.173,0,1,0
YYZ,['Rush'],1981,58,265840,0.00205,0.51,0.919,0.809,0.068,-8.244,0.0593,141.053,0.386,1,7,0
When You Say Nothing at All,['Keith Whitley'],1988,58,223733,0.691,0.666,0.296,3.73e-06,0.0552,-15.412,0.0247,80.006,0.392,1,3,0
Mary Had a Little Lamb,['Stevie Ray Vaughan'],1983,58,166960,0.0882,0.678,0.493,0.153,0.264,-13.782,0.0302,122.627,0.914,1,8,0
Dirty Old Town,['The Pogues'],1985,58,225426,0.256,0.511,0.464,4.2e-06,0.132,-10.765,0.0383,123.412,0.289,1,7,0
Love Shack - Edit,"[""The B-52's""]",1989,58,257520,0.142,0.701,0.792,1.28e-06,0.764,-8.644,0.0549,133.451,0.9,0,7,0
Get Down On It,['Kool & The Gang'],1981,58,293667,0.0753,0.847,0.389,1.2e-05,0.0471,-15.362,0.0569,111.52,0.968,0,9,0
"Kinderszenen, Op. 15: No. 7 in F Major, Träumerei","['Robert Schumann', 'Ivan Moravec']",1989,58,186840,0.995,0.5,0.0123,0.954,0.0748,-30.17,0.0712,130.128,0.313,1,5,0
"Vivaldi: Violin Concerto in E Major, RV 269, No. 1, Spring: I. Allegro","['Antonio Vivaldi', 'Nigel Kennedy', 'English Chamber Orchestra']",1989,58,187720,0.883,0.575,0.174,0.898,0.108,-14.423,0.0424,113.134,0.381,1,4,0
La Bestia Pop,['Patricio Rey y sus Redonditos de Ricota'],1985,58,247067,0.0506,0.641,0.677,0.112,0.0687,-10.142,0.0327,120.666,0.896,1,7,0
Diggin' Up Bones,['Randy Travis'],1986,58,178973,0.377,0.708,0.577,0.0,0.0718,-8.229,0.0261,85.667,0.836,1,0,0
Ask - 2011 Remaster,['The Smiths'],1987,58,198147,0.387,0.453,0.986,0.0,0.422,-5.768,0.119,166.594,0.455,1,7,0
Dangerous,['Roxette'],1988,58,228867,0.0485,0.712,0.898,7.76e-06,0.148,-4.893,0.0336,124.409,0.961,1,4,0
World-A-Reggae,['Ini Kamoze'],1984,58,230040,0.0105,0.863,0.457,0.000774,0.0978,-11.445,0.0601,73.724,0.382,0,6,0
Closer to Fine,['Indigo Girls'],1989,58,241600,0.368,0.54,0.677,0.0,0.224,-6.349,0.0286,98.339,0.748,1,9,0
Don't Come Around Here No More,['Tom Petty and the Heartbreakers'],1985,58,307333,0.00105,0.502,0.54,0.00849,0.243,-15.93,0.0318,160.531,0.922,1,10,0
Guitar Town,['Steve Earle'],1986,58,155267,0.229,0.661,0.496,0.0,0.0753,-15.53,0.0357,165.549,0.948,1,7,0
Kings of Metal,['Manowar'],1988,58,223867,0.000117,0.575,0.881,2.69e-05,0.147,-13.012,0.0357,132.127,0.699,1,9,0
Red Red Wine,['UB40'],1983,58,320933,0.00614,0.814,0.363,0.000177,0.101,-15.675,0.0644,89.157,0.842,1,1,0
An Ending (Ascent) - Remastered 2005,['Brian Eno'],1983,58,266200,0.932,0.257,0.0906,0.985,0.0786,-25.381,0.07,67.46,0.0451,1,8,0
I Will (Take You Forever),['Christopher Cross'],1988,58,239133,0.392,0.635,0.524,0.00309,0.104,-10.02,0.0278,128.103,0.318,1,9,0
Caruso,['Lucio Dalla'],1986,58,313000,0.759,0.413,0.142,3.19e-06,0.142,-15.019,0.0419,123.487,0.164,0,9,0
Institutionalized,['Suicidal Tendencies'],1983,58,229960,0.0404,0.358,0.804,0.0,0.111,-8.534,0.302,91.842,0.625,1,0,0
Place des grands hommes,['Patrick Bruel'],1989,58,268747,0.345,0.643,0.765,1.54e-06,0.126,-7.385,0.0317,130.582,0.602,1,9,0
Jump (For My Love),['The Pointer Sisters'],1983,58,267227,0.161,0.842,0.697,0.000101,0.583,-13.796,0.0654,134.533,0.916,0,10,0
Pictures of You - 2010 Remaster,['The Cure'],1989,58,448467,0.00371,0.484,0.776,0.109,0.131,-6.48,0.0312,171.935,0.495,1,9,0
You'll Accomp'ny Me,['Bob Seger'],1980,58,240227,0.0785,0.589,0.751,2.38e-06,0.0878,-5.663,0.0403,108.849,0.637,1,9,0
Turn Me Loose,['Loverboy'],1980,58,337933,0.0841,0.588,0.641,0.000663,0.303,-12.205,0.0312,119.374,0.548,1,5,0
Gabriel's Oboe,['Ennio Morricone'],1986,58,134133,0.96,0.233,0.195,0.914,0.0793,-17.202,0.0461,61.211,0.0675,1,2,0
Turn up the Radio,['Autograph'],1984,58,278507,0.0375,0.629,0.79,0.00034,0.13,-13.496,0.0429,110.295,0.428,1,2,0
Heaven and Hell - 2008 Remaster,['Black Sabbath'],1980,58,419933,0.0239,0.329,0.673,0.109,0.138,-8.465,0.0296,91.122,0.323,0,3,0
One More Try - Remastered,['George Michael'],1987,58,350667,0.434,0.551,0.291,3.78e-05,0.11,-12.544,0.0283,119.005,0.0823,1,5,0
Where The Streets Have No Name - Remastered,['U2'],1987,58,336613,0.0113,0.492,0.709,0.00564,0.153,-9.66,0.0359,125.799,0.264,1,2,0
Ogni volta,['Vasco Rossi'],1982,58,254013,0.0863,0.459,0.602,1.27e-05,0.145,-7.315,0.0297,145.343,0.159,1,9,0
The Heart Of The Matter,['Don Henley'],1989,58,322600,0.201,0.579,0.529,0.0,0.231,-11.548,0.025,88.156,0.38,1,2,0
Por Tu Maldito Amor,['Vicente Fernández'],1989,58,236480,0.772,0.53,0.292,0.0,0.31,-7.452,0.0342,82.586,0.393,1,9,0
In My Darkest Hour - Remastered 2004,['Megadeth'],1988,58,386600,8.66e-05,0.322,0.978,0.266,0.136,-5.446,0.131,112.878,0.271,1,9,0
Veneno en la Piel,['Radio Futura'],1984,58,225813,0.0361,0.67,0.858,0.000108,0.0783,-8.491,0.0261,139.478,0.971,1,2,0
Forever Young,['Rod Stewart'],1988,58,248000,0.0934,0.602,0.493,0.00251,0.28,-17.899,0.0279,101.941,0.505,1,4,0
La donna cannone,['Francesco De Gregori'],1983,58,279707,0.731,0.31,0.137,0.000254,0.429,-19.078,0.0369,140.13,0.112,1,0,0
Police Truck,['Dead Kennedys'],1987,58,144973,0.0627,0.207,0.967,6.32e-05,0.504,-5.381,0.0982,202.423,0.598,1,4,0
Wildflowers - 2015 Remaster,"['Dolly Parton', 'Linda Ronstadt', 'Emmylou Harris']",1987,58,216573,0.762,0.609,0.368,6.28e-06,0.335,-13.338,0.0294,90.373,0.618,1,10,0
The Next Time I Fall (with Amy Grant),"['Peter Cetera', 'Amy Grant']",1986,58,225973,0.488,0.656,0.347,0.00221,0.0645,-13.398,0.028,118.288,0.368,1,9,0
Entre Dos Aguas,['Paco de Lucía'],1981,58,365893,0.84,0.448,0.637,0.857,0.0774,-14.723,0.0355,102.891,0.92,0,4,0
Beautiful Boy (Darling Boy),['John Lennon'],1980,58,245693,0.733,0.574,0.469,1.96e-06,0.856,-11.53,0.0403,111.378,0.435,1,2,0
Everybody's Talkin',['Harry Nilsson'],1985,58,152227,0.46,0.496,0.368,7.54e-05,0.311,-15.194,0.0338,128.331,0.628,1,4,0
Para Machuchar Meu Coracao,"['Stan Getz', 'João Gilberto', 'Antônio Carlos Jobim']",1989,58,304827,0.962,0.612,0.156,0.0026,0.102,-15.823,0.0396,131.09,0.415,1,3,0
Something Happened on the Way to Heaven - 2016 Remaster,['Phil Collins'],1989,58,291587,0.184,0.656,0.88,0.00609,0.272,-4.137,0.0287,114.613,0.88,0,5,0
Jump (Original Mix),['The Pointer Sisters'],1983,58,262560,0.0867,0.846,0.826,0.0,0.12,-7.909,0.098,134.454,0.813,0,10,0
Stay on These Roads,['a-ha'],1988,58,284053,0.0329,0.572,0.51,0.103,0.163,-9.99,0.0308,103.973,0.188,1,5,0
South Of Heaven,['Slayer'],1988,58,298533,0.000132,0.31,0.991,0.085,0.0969,-3.769,0.316,140.071,0.0395,0,5,1
Who Can It Be Now?,['Men At Work'],1981,58,203267,0.0444,0.807,0.83,0.000358,0.0842,-4.04,0.0367,128.501,0.954,1,4,0
Still of the Night - 2018 Remaster,['Whitesnake'],1987,58,397768,0.00235,0.334,0.854,0.00114,0.158,-7.531,0.0494,100.175,0.284,0,4,0
Nuestro Sueño,['Grupo Niche'],1988,58,359227,0.675,0.685,0.801,0.00132,0.0906,-10.094,0.0329,90.23,0.738,0,7,0
A Love So Beautiful,['Michael Bolton'],1987,58,245827,0.186,0.268,0.361,0.000171,0.0972,-11.701,0.0263,61.299,0.0768,1,1,0
L'envie,['Johnny Hallyday'],1986,58,230427,0.0718,0.444,0.656,0.0,0.284,-9.294,0.0699,121.336,0.596,0,11,0
"Can't Get Enough Of Your Love, Babe",['Barry White'],1988,58,242573,0.175,0.771,0.659,0.0356,0.179,-12.311,0.0688,110.698,0.742,1,10,0
Smokin' In The Boys Room,['Mötley Crüe'],1985,58,208400,0.00175,0.391,0.938,1.09e-06,0.247,-4.86,0.0786,134.691,0.652,1,2,0
Corazón mágico,['Dyango'],1987,58,198000,0.243,0.639,0.36,1.35e-06,0.048,-12.725,0.03,114.004,0.559,1,4,0
Take My Breath Away,['Berlin'],1986,58,252000,0.188,0.478,0.609,0.0,0.47,-13.201,0.0275,96.149,0.579,1,6,0
Cama e Mesa - Versão Remasterizada,['Roberto Carlos'],1981,58,199413,0.158,0.699,0.354,0.0,0.0689,-16.487,0.0362,119.909,0.751,0,8,0
West End Girls - 2001 Remaster,['Pet Shop Boys'],1986,58,245360,0.0114,0.648,0.947,0.0567,0.105,-6.617,0.0369,113.255,0.602,0,4,0
Talk Dirty To Me,['Poison'],1986,58,223733,0.00853,0.491,0.957,0.000879,0.371,-3.67,0.096,158.067,0.635,1,11,0
Juanito Alimaña,"['Héctor Lavoe', 'Willie Colón']",1982,58,456960,0.76,0.688,0.795,8.01e-06,0.0484,-4.537,0.0415,90.698,0.921,0,7,0
It Had to Be You (Big Band and Vocals),"['Harry Connick, Jr.']",1989,58,158227,0.683,0.543,0.284,0.0,0.101,-13.205,0.051,125.558,0.409,1,5,0
Leave Me Alone - 2012 Remaster,['Michael Jackson'],1987,58,280360,0.393,0.85,0.957,0.00292,0.0764,-3.991,0.113,123.589,0.609,1,4,0
I Will Follow - Remastered 2008,['U2'],1980,58,217387,0.000347,0.36,0.909,3.28e-05,0.282,-6.827,0.0663,155.293,0.647,1,8,0
California Uber Alles,['Dead Kennedys'],1987,58,207040,0.176,0.317,0.885,0.000249,0.221,-4.768,0.144,111.366,0.704,1,8,0
Brilliant Disguise,['Bruce Springsteen'],1987,58,254840,0.152,0.703,0.726,1.45e-06,0.0319,-12.438,0.029,126.353,0.949,1,9,0
Menina Veneno,['Ritchie'],1983,58,281293,0.172,0.6,0.781,7.2e-05,0.336,-6.444,0.0305,124.512,0.746,0,8,0
Elle a les yeux revolver,['Marc Lavoine'],1985,58,219973,0.496,0.577,0.273,0.0,0.0914,-16.428,0.0499,79.995,0.547,1,5,0
If It Isn't Love,['New Edition'],1988,58,309840,0.0915,0.588,0.856,2.62e-05,0.365,-12.418,0.0378,97.968,0.781,0,5,0
Candy,['Cameo'],1986,58,339933,0.119,0.705,0.709,1.69e-05,0.286,-12.649,0.0489,110.522,0.853,0,11,0
Electric Eye,['Judas Priest'],1982,58,222440,0.000716,0.437,0.948,0.000261,0.146,-6.041,0.0554,96.72,0.361,0,4,0
El Amor Acaba,['José José'],1985,58,260027,0.811,0.568,0.309,1.66e-05,0.302,-15.871,0.0393,91.265,0.391,1,9,0
Fallen Angel - Remastered,['Poison'],1988,58,238200,0.00864,0.509,0.935,1.17e-06,0.255,-3.633,0.0493,148.062,0.501,1,6,0
Children's Story,['Slick Rick'],1988,58,242040,0.125,0.904,0.577,0.0,0.115,-7.293,0.132,102.691,0.7,1,1,1
New Sensation,['INXS'],1987,57,219813,0.0661,0.68,0.967,1.75e-06,0.0808,-2.771,0.0664,115.748,0.895,1,4,0
Corazón Delator - Remasterizado 2007,['Soda Stereo'],1988,57,312840,0.0643,0.565,0.632,0.221,0.397,-6.994,0.0274,85.317,0.355,0,4,0
Where Are You Now,['Nazareth'],1983,57,233853,0.316,0.474,0.508,0.0,0.166,-6.845,0.0235,77.31,0.358,0,6,0
Inocente Pobre Amigo,['Juan Gabriel'],1980,57,245133,0.321,0.481,0.28,1.76e-06,0.368,-12.48,0.0448,83.384,0.367,1,2,0
Vita spericolata,['Vasco Rossi'],1983,57,283467,0.694,0.501,0.508,0.0,0.108,-7.306,0.0277,109.408,0.276,1,0,0
Deseándote,['Frankie Ruiz'],1989,57,281187,0.492,0.559,0.838,0.0,0.179,-4.534,0.0484,95.519,0.927,0,5,0
Just Like Jesse James,['Cher'],1989,57,245733,0.17,0.4,0.563,0.0,0.133,-10.233,0.0307,138.006,0.442,1,8,0
Live to Tell,['Madonna'],1986,57,353000,0.411,0.673,0.314,0.0334,0.107,-14.156,0.0279,109.841,0.27,0,2,0
You Look So Good In Love,['George Strait'],1985,57,193400,0.435,0.642,0.233,0.0,0.105,-16.568,0.0298,114.495,0.333,1,9,0
Preso,['José José'],1981,57,226667,0.75,0.535,0.431,0.0,0.257,-8.319,0.0294,110.992,0.392,0,6,0
Alone Again,['Dokken'],1984,57,262200,0.0194,0.298,0.612,9.67e-05,0.0906,-9.002,0.0379,156.727,0.343,0,3,0
"Klarinettenkonzert A-Dur, K. 622: 2. Adagio (Jenseits von Afrika): II. Adagio","['Wolfgang Amadeus Mozart', 'David Shifrin', 'Mostly Mozart Orchestra', 'Gerard Schwarz']",1985,57,477733,0.967,0.122,0.0182,0.834,0.0735,-27.89,0.0383,77.59,0.0473,1,2,0
Who's Holding Donna Now?,['DeBarge'],1985,57,267733,0.423,0.658,0.334,2.21e-05,0.127,-14.648,0.0254,90.173,0.647,0,3,0
De Niña a Mujer,['Julio Iglesias'],1981,57,198200,0.702,0.43,0.25,0.0,0.383,-17.067,0.029,104.387,0.413,1,0,0
Te Amo - En vivo,['Franco De Vita'],1988,57,227200,0.814,0.629,0.278,0.0,0.102,-14.091,0.0338,119.502,0.379,1,0,0
Sina,['Djavan'],1982,57,332133,0.382,0.763,0.556,1.4e-05,0.262,-7.893,0.0353,103.925,0.909,1,9,0
My Prerogative,['Bobby Brown'],1988,57,291560,0.0655,0.762,0.625,0.0,0.252,-10.481,0.0562,110.163,0.696,1,9,0
On Broadway,['George Benson'],1981,57,316160,0.205,0.77,0.319,0.000151,0.0687,-17.098,0.0579,117.232,0.863,0,10,0
Love Buzz,['Nirvana'],1989,57,215203,3.31e-05,0.481,0.863,0.232,0.173,-8.286,0.0339,137.878,0.786,1,3,0
Olhar 43,['RPM'],1984,57,183907,0.395,0.686,0.663,5.39e-05,0.0506,-11.804,0.0473,82.052,0.96,1,3,0
Fisherman's Blues - 2006 Remaster,['The Waterboys'],1988,57,266667,0.0032,0.371,0.847,6.28e-06,0.107,-4.564,0.0803,137.97,0.62,0,9,0
New Year's Day - Single Edit - Remastered,['U2'],1983,57,235773,0.0033,0.53,0.783,0.0107,0.319,-6.768,0.0311,133.662,0.571,1,4,0
Atlantic City,['Bruce Springsteen'],1982,57,236653,0.311,0.475,0.429,0.0,0.376,-10.577,0.0367,108.034,0.34,1,4,0
Mi Buen Corazón,['Amanda Miguel'],1981,57,259109,0.614,0.452,0.335,0.0,0.144,-10.651,0.0288,109.514,0.192,1,0,0
White Wedding (Parts 1 And 2) - Shotgun Mix / 24-Bit Digitally Remastered 2001,['Billy Idol'],1985,57,505093,0.0175,0.672,0.792,0.0119,0.313,-6.436,0.0333,146.907,0.649,1,9,0
Demoliendo Hoteles,['Charly García'],1984,57,135973,0.00321,0.616,0.701,0.0,0.39,-8.467,0.0629,78.983,0.411,1,1,0
Geronimo's Cadillac,['Modern Talking'],1986,57,198493,0.428,0.695,0.785,0.0,0.473,-10.144,0.0518,110.382,0.723,0,5,0
